s_m; a0; a1; a2; a3; b0; b1; b2; b3
0.3146963; -0.3983675; -0.0041283; 0.0149228; -0.0022890; -15.4456999; 0.3147568; -0.0000839; -0.0001616
0.3283909; -0.3898620; 0.0196739; 0.0087750; -0.0016847; -15.1311885; 0.3278260; -0.0006194; 0.0000717
0.3326848; -0.3630977; 0.0325925; 0.0038195; -0.0016051; -14.8039103; 0.3310945; -0.0004149; 0.0001782
0.3269430; -0.3282909; 0.0348045; -0.0009618; -0.0011559; -14.4730525; 0.3250874; 0.0001157; 0.0000980
0.3155391; -0.2956041; 0.0283869; -0.0041258; 0.0002791; -14.1477514; 0.3142517; 0.0003816; -0.0000572
0.3059039; -0.2710638; 0.0203323; -0.0030908; 0.0001335; -13.8331753; 0.3052318; 0.0001973; -0.0000236
0.2986788; -0.2536889; 0.0142074; -0.0025649; 0.0002269; -13.5277698; 0.2983404; 0.0001206; -0.0000209
0.2937907; -0.2418195; 0.0095986; -0.0018231; 0.0002480; -13.2293298; 0.2936349; 0.0000561; -0.0000111
0.2911836; -0.2337960; 0.0066371; -0.0010600; 0.0002604; -12.9356499; 0.2911084; 0.0000224; -0.0000059
0.2908236; -0.2279585; 0.0052917; -0.0002781; 0.0002975; -12.6445250; 0.2907757; 0.0000047; -0.0000053
0.2925183; -0.2226474; 0.0056608; 0.0006216; 0.0000247; -12.3537499; 0.2924633; -0.0000114; -0.0000018
0.2947582; -0.2163402; 0.0070316; 0.0007064; -0.0000483; -12.0612999; 0.2946744; -0.0000170; 0.0000004
0.2967949; -0.2086505; 0.0083568; 0.0005692; -0.0000280; -11.7666422; 0.2966773; -0.0000162; 0.0000002
0.2986210; -0.1997525; 0.0094692; 0.0004912; -0.0000321; -11.4699809; 0.2984709; -0.0000157; 0.0000006
0.3002349; -0.1898243; 0.0104111; 0.0003991; -0.0000299; -11.1715250; 0.3000544; -0.0000139; 0.0000008
0.3016351; -0.1790439; 0.0111715; 0.0003123; -0.0000295; -10.8714838; 0.3014281; -0.0000116; 0.0000010
0.3028205; -0.1675897; 0.0117534; 0.0002254; -0.0000289; -10.5700663; 0.3025923; -0.0000088; 0.0000011
0.3037903; -0.1556398; 0.0121564; 0.0001397; -0.0000285; -10.2674818; 0.3035470; -0.0000056; 0.0000011
0.3045442; -0.1433722; 0.0123809; 0.0000544; -0.0000283; -9.9639393; 0.3042924; -0.0000022; 0.0000012
0.3050818; -0.1309651; 0.0124269; -0.0000305; -0.0000280; -9.6596480; 0.3048286; 0.0000012; 0.0000011
0.3054034; -0.1185967; 0.0122948; -0.0001147; -0.0000285; -9.3548170; 0.3051558; 0.0000046; 0.0000011
0.3055092; -0.1064451; 0.0119839; -0.0002005; -0.0000268; -9.0496554; 0.3052741; 0.0000079; 0.0000009
0.3054000; -0.0946885; 0.0114984; -0.0002808; -0.0000341; -8.7443725; 0.3051835; 0.0000106; 0.0000010
0.3050785; -0.0835050; 0.0108231; -0.0003823; -0.0000045; -8.4391774; 0.3048864; 0.0000136; -0.0000002
0.3046145; -0.0730687; 0.0100298; -0.0003945; 0.0000432; -8.1342775; 0.3044493; 0.0000129; -0.0000016
0.3040982; -0.0633902; 0.0093546; -0.0002640; 0.0000345; -7.8298169; 0.3039543; 0.0000080; -0.0000011
0.3035346; -0.0542651; 0.0089135; -0.0001600; 0.0000370; -7.5258557; 0.3034037; 0.0000047; -0.0000011
0.3029230; -0.0454746; 0.0086871; -0.0000487; 0.0000366; -7.2224484; 0.3027984; 0.0000014; -0.0000010
0.3022633; -0.0367996; 0.0086805; 0.0000608; 0.0000370; -6.9196496; 0.3021386; -0.0000017; -0.0000011
0.3015556; -0.0280213; 0.0088923; 0.0001711; 0.0000373; -6.6175138; 0.3014245; -0.0000050; -0.0000012
0.3008008; -0.0189206; 0.0093229; 0.0002814; 0.0000376; -6.3160956; 0.3006563; -0.0000087; -0.0000015
0.3000001; -0.0092787; 0.0099720; 0.0003922; 0.0000380; -6.0154494; 0.2998343; -0.0000129; -0.0000018
